us_state,county,poverty_estimate,poverty_percentage
CO,Phillips,435,10.4
CO,Pitkin,"1,099",6.2
CO,Prowers,"2,159",18.2
CO,Pueblo,"29,187",17.8
CO,Rio Blanco,624,10.3
CO,Rio Grande,"1,591",14.4
CO,Routt,"1,820",7.2
CO,Saguache,"1,726",25.4
CO,San Juan,99,13.7
CO,San Miguel,804,9.9
CO,Sedgwick,323,14.6
CO,Summit,"1,963",6.4
CO,Teller,"1,990",7.9
CO,Washington,556,11.8
CO,Weld,"26,547",8.4
CO,Yuma,"1,255",12.8
CT,Connecticut,"343,101",9.9
CT,Fairfield,"83,047",9.0
CT,Hartford,"93,694",10.8
CT,Litchfield,"12,741",7.1
CT,Middlesex,"11,024",7.0
CT,New Haven,"99,423",12.0
CT,New London,"19,739",7.8
CT,Tolland,"10,559",7.8
CT,Windham,"12,874",11.5
DE,Delaware,"106,227",11.2
DE,Kent,"22,195",12.7
DE,New Castle,"56,289",10.4
DE,Sussex,"27,742",12.1
DC,District of Columbia,"94,985",14.1
DC,District of Columbia,"94,985",14.1
FL,Florida,"2,681,832",12.7
FL,Alachua,"46,916",18.4
FL,Baker,"3,914",14.9
FL,Bay,"20,643",12.1
FL,Bradford,"5,011",21.0
FL,Brevard,"55,578",9.4
FL,Broward,"237,486",12.3
FL,Calhoun,"2,508",20.3
FL,Charlotte,"21,188",11.4
FL,Citrus,"22,291",15.2
FL,Clay,"18,095",8.3
FL,Collier,"35,928",9.4
FL,Columbia,"10,338",15.6
FL,DeSoto,"7,626",21.8
FL,Dixie,"3,338",22.2
FL,Duval,"126,963",13.5
FL,Escambia,"46,519",15.5
FL,Flagler,"11,049",9.7
FL,Franklin,"1,995",19.2
FL,Gadsden,"8,472",19.7
FL,Gilchrist,"2,601",15.0
FL,Glades,"2,377",19.3
FL,Gulf,"1,848",14.0
FL,Hamilton,"3,794",32.5
FL,Hardee,"5,614",22.1
FL,Hendry,"8,086",19.5
FL,Hernando,"23,779",12.4
FL,Highlands,"16,519",15.8
FL,Hillsborough,"195,684",13.5
FL,Holmes,"3,587",20.1
FL,Indian River,"18,179",11.5
FL,Jackson,"7,769",19.4
FL,Jefferson,"2,276",17.6
FL,Lafayette,"1,289",18.0
FL,Lake,"39,419",10.9
FL,Lee,"85,295",11.2
FL,Leon,"58,203",20.8
FL,Levy,"7,458",18.2
FL,Liberty,"1,453",23.0
FL,Madison,"3,732",22.7
FL,Manatee,"44,991",11.3
FL,Marion,"52,950",14.9
FL,Martin,"14,000",8.9
FL,Miami-Dade,"419,056",15.7
FL,Monroe,"7,239",9.9
FL,Nassau,"7,951",9.0
FL,Okaloosa,"21,866",10.6
FL,Okeechobee,"7,189",18.4
FL,Orange,"171,599",12.6
FL,Osceola,"49,803",13.4
FL,Palm Beach,"168,026",11.4
FL,Pasco,"61,716",11.3
FL,Pinellas,"108,948",11.4
FL,Polk,"99,590",14.0
FL,Putnam,"16,318",22.4
FL,St. Johns,"16,829",6.4
FL,St. Lucie,"34,008",10.5
FL,Santa Rosa,"17,435",9.8
FL,Sarasota,"33,144",7.8
FL,Seminole,"43,741",9.3
FL,Sumter,"11,078",8.9
FL,Suwannee,"7,144",17.1
FL,Taylor,"3,792",19.9
FL,Union,"2,065",19.9
FL,Volusia,"70,554",13.1
FL,Wakulla,"3,651",12.0
FL,Walton,"7,740",10.8
FL,Washington,"4,587",20.1
GA,Georgia,"1,397,607",13.5
GA,Appling,"3,737",20.9
GA,Atkinson,"1,887",23.2
GA,Bacon,"2,080",19.2
GA,Baker,749,24.8
GA,Baldwin,"8,934",22.9
GA,Banks,"2,454",12.8
GA,Barrow,"8,021",9.7
GA,Bartow,"13,243",12.5
GA,Ben Hill,"3,738",22.8
GA,Berrien,"3,843",20.1
GA,Bibb,"33,912",23.2
GA,Bleckley,"2,112",18.5
GA,Brantley,"3,056",16.1
GA,Brooks,"3,372",21.9
GA,Bryan,"3,073",7.8
GA,Bulloch,"15,945",21.9
GA,Burke,"5,197",23.6
GA,Butts,"3,217",14.7
GA,Calhoun,"1,608",35.9
GA,Camden,"7,219",13.8
GA,Candler,"2,427",23.1
GA,Carroll,"17,148",14.9
GA,Catoosa,"6,704",10.0
GA,Charlton,"2,804",25.9
GA,Chatham,"40,565",14.8
GA,Chattahoochee,"1,547",18.5
GA,Chattooga,"4,085",17.4
GA,Cherokee,"16,725",6.5
GA,Clarke,"30,277",25.7
GA,Clay,797,28.8
GA,Clayton,"45,655",16.0
GA,Clinch,"1,435",22.0
GA,Cobb,"62,275",8.3
GA,Coffee,"8,048",20.2
GA,Colquitt,"9,738",21.9
GA,Columbia,"8,747",5.6
GA,Cook,"3,654",21.4
GA,Coweta,"13,318",9.0
GA,Crawford,"1,875",15.3
GA,Crisp,"5,830",26.7
GA,Dade,"2,038",13.5
GA,Dawson,"2,267",8.8
GA,Decatur,"5,915",23.4
GA,DeKalb,"95,805",12.9
GA,Dodge,"3,853",20.6
GA,Dooly,"3,236",28.2
GA,Dougherty,"23,192",27.6
GA,Douglas,"15,842",10.9
GA,Early,"2,733",27.3
GA,Echols,861,21.6
GA,Effingham,"5,784",9.1
GA,Elbert,"3,897",20.6
GA,Emanuel,"4,441",20.9
GA,Evans,"2,459",24.1
GA,Fannin,"3,144",12.1
GA,Fayette,"6,105",5.4
GA,Floyd,"15,537",16.4
GA,Forsyth,"11,024",4.5
GA,Franklin,"3,887",17.3
GA,Fulton,"141,979",13.8
GA,Gilmer,"4,543",14.6
GA,Glascock,486,16.9
GA,Glynn,"12,943",15.4
GA,Gordon,"7,001",12.3
GA,Grady,"5,276",21.7
GA,Greene,"2,709",15.0
GA,Gwinnett,"85,810",9.2
GA,Habersham,"6,515",15.2
GA,Hall,"27,137",13.5
GA,Hancock,"2,225",31.2
GA,Haralson,"4,223",14.4
GA,Harris,"2,270",6.5
GA,Hart,"3,717",14.6
GA,Heard,"1,958",16.7
GA,Henry,"18,819",8.1
GA,Houston,"17,079",11.0
GA,Irwin,"1,699",20.5
GA,Jackson,"7,418",10.3
GA,Jasper,"1,748",12.4
GA,Jeff Davis,"3,169",21.2
GA,Jefferson,"3,710",25.1
GA,Jenkins,"2,162",29.0
GA,Johnson,"1,931",24.2
GA,Jones,"3,629",12.8
GA,Lamar,"2,641",14.8
GA,Lanier,"1,871",18.5
GA,Laurens,"11,049",23.9
GA,Lee,"2,715",9.3
GA,Liberty,"8,680",14.5
GA,Lincoln,"1,357",17.3
GA,Long,"2,726",14.2
GA,Lowndes,"22,685",20.4
GA,Lumpkin,"4,432",14.5
GA,McDuffie,"3,792",18.0
GA,McIntosh,"2,671",18.7
GA,Macon,"3,249",29.4
GA,Madison,"4,608",15.6
GA,Marion,"1,745",21.1
GA,Meriwether,"4,634",22.2
GA,Miller,"1,193",21.3
GA,Mitchell,"6,048",30.7
GA,Monroe,"2,787",10.6
GA,Montgomery,"1,619",19.4
GA,Morgan,"2,109",11.1
GA,Murray,"5,755",14.5
GA,Muscogee,"34,694",18.4
GA,Newton,"12,348",11.2
GA,Oconee,"2,236",5.6
GA,Oglethorpe,"1,922",12.8
GA,Paulding,"11,461",6.8
GA,Peach,"5,203",19.8
GA,Pickens,"3,327",10.3
GA,Pierce,"3,157",16.4
GA,Pike,"1,615",8.7
GA,Polk,"6,816",16.2
GA,Pulaski,"2,048",20.7
GA,Putnam,"3,316",15.1
GA,Quitman,523,22.8
GA,Rabun,"2,181",13.0
GA,Randolph,"1,635",25.3
GA,Richmond,"41,081",21.7
GA,Rockdale,"10,873",12.1
GA,Schley,834,15.9
GA,Screven,"3,239",24.1
GA,Seminole,"1,808",22.6
GA,Spalding,"11,537",17.7
GA,Stephens,"3,794",15.0
GA,Stewart,"1,702",34.7
GA,Sumter,"7,420",26.7
GA,Talbot,"1,210",19.6
GA,Taliaferro,345,22.5
GA,Tattnall,"5,507",26.5
GA,Taylor,"1,810",22.9
GA,Telfair,"3,516",27.7
GA,Terrell,"2,325",28.2
GA,Thomas,"7,894",18.0
GA,Tift,"8,380",21.5
GA,Toombs,"5,086",19.2
GA,Towns,"1,376",12.7
GA,Treutlen,"2,043",31.6
GA,Troup,"13,009",19.2
GA,Turner,"2,132",28.0
GA,Twiggs,"1,522",19.0
GA,Union,"2,800",11.6
GA,Upson,"4,932",19.1
GA,Walker,"10,034",14.7
GA,Walton,"10,070",10.8
GA,Ware,"8,742",26.3
GA,Warren,"1,372",26.5
GA,Washington,"3,940",21.4
GA,Wayne,"5,116",18.4
GA,Webster,477,18.4
GA,Wheeler,"1,821",34.2
GA,White,"3,259",10.9
GA,Whitfield,"13,110",12.7
GA,Wilcox,"1,991",29.4
GA,Wilkes,"1,875",19.6
GA,Wilkinson,"1,491",17.0
GA,Worth,"4,061",20.3
HI,Hawaii,"124,650",9.0
HI,Hawaii,"26,071",13.1
HI,Honolulu,"74,282",7.9
HI,Kalawao,.,.
HI,Kauai,"6,659",9.3
HI,Maui,"17,638",10.7
ID,Idaho,"193,741",11.0
ID,Ada,"44,023",9.4
ID,Adams,539,12.7
ID,Bannock,"11,554",13.5
ID,Bear Lake,717,11.8
ID,Benewah,"1,415",15.4
ID,Bingham,"5,145",11.1
ID,Blaine,"1,657",7.2
ID,Boise,899,11.6
ID,Bonner,"5,689",12.6
ID,Bonneville,"10,953",9.3
ID,Boundary,"1,794",14.8
ID,Butte,376,14.6
ID,Camas,99,9.0
ID,Canyon,"22,828",10.1
ID,Caribou,718,10.1
ID,Cassia,"2,843",12.0
ID,Clark,122,14.5
ID,Clearwater,"1,082",13.5
ID,Custer,556,13.0
ID,Elmore,"3,758",14.1
ID,Franklin,"1,122",8.2
ID,Fremont,"1,598",12.7
ID,Gem,"2,266",12.7
ID,Gooding,"2,285",15.1
ID,Idaho,"2,227",13.8
ID,Jefferson,"2,723",9.2
ID,Jerome,"3,429",14.2
ID,Kootenai,"16,374",10.0
ID,Latah,"4,353",11.7
ID,Lemhi,"1,070",13.5
ID,Lewis,502,13.2
ID,Lincoln,592,11.2
ID,Madison,"10,731",27.4
ID,Minidoka,"2,361",11.3
ID,Nez Perce,"4,372",11.1
ID,Oneida,507,11.3
ID,Owyhee,"1,736",14.9
ID,Payette,"2,615",11.0
ID,Power,998,13.1
ID,Shoshone,"2,426",19.1
ID,Teton,931,7.7
ID,Twin Falls,"9,420",11.0
ID,Valley,995,8.8
ID,Washington,"1,345",13.4
IL,Illinois,"1,415,838",11.4
IL,Adams,"7,786",12.3
IL,Alexander,"1,361",24.0
IL,Bond,"1,920",13.0
IL,Boone,"4,701",8.9
IL,Brown,674,14.8
IL,Bureau,"3,594",11.2
IL,Calhoun,452,9.7
IL,Carroll,"1,560",11.1
IL,Cass,"1,554",13.0
IL,Champaign,"38,566",19.9
IL,Christian,"3,769",12.3
IL,Clark,"1,636",10.8
IL,Clay,"1,793",13.8
IL,Clinton,"2,645",7.5
IL,Coles,"7,957",16.8
IL,Cook,"659,687",13.0
IL,Crawford,"2,170",12.6
IL,Cumberland,"1,075",10.1
IL,DeKalb,"12,909",13.0
IL,De Witt,"1,683",11.0
IL,Douglas,"1,544",8.0
IL,DuPage,"54,833",6.0
IL,Edgar,"2,220",13.2
IL,Edwards,744,11.8
IL,Effingham,"3,087",9.2
IL,Fayette,"2,961",15.1
IL,Ford,"1,256",10.0
IL,Franklin,"6,199",16.4
IL,Fulton,"4,181",13.3
IL,Gallatin,911,19.0
IL,Greene,"1,730",13.7
IL,Grundy,"2,827",5.6
IL,Hamilton,"1,017",12.7
IL,Hancock,"2,149",12.3
IL,Hardin,683,18.0
IL,Henderson,724,11.0
IL,Henry,"4,164",8.7
IL,Iroquois,"3,083",11.6
IL,Jackson,"13,551",25.4
IL,Jasper,942,9.9
IL,Jefferson,"5,267",14.9
IL,Jersey,"2,171",10.4
IL,Jo Daviess,"1,965",9.3
IL,Johnson,"1,435",12.9
IL,Kane,"43,305",8.2
IL,Kankakee,"13,271",12.7
IL,Kendall,"5,195",4.0
IL,Knox,"8,490",18.6
IL,Lake,"49,130",7.2
IL,La Salle,"12,837",12.2
IL,Lawrence,"2,442",18.4
IL,Lee,"3,724",12.0
