us_state,county,year_end,days_with_aqi,good_days,moderate_days,unhealthy_sensitive_days,unhealthy_days,very_unhealthy_days,hazardous_days,max_aqi,ninetieth_percentile_aqi,median_aqi,days_co,days_no2,days_ozone,days_so2,days_pm2,days_pm10
CA,San Bernardino,12/31/2018,365,43,168,96,51,7,0,221,164,88,0,20,215,0,126,4
CA,San Diego,12/31/2018,365,73,257,35,0,0,0,143,100,64,0,1,202,0,162,0
CA,San Francisco,12/31/2018,365,278,73,2,11,1,0,228,61,37,1,34,126,0,203,1
CA,San Joaquin,12/31/2018,365,152,180,20,10,2,1,308,99,54,0,1,154,0,204,6
CA,San Luis Obispo,12/31/2018,365,202,154,9,0,0,0,133,74,49,0,0,234,0,92,39
CA,San Mateo,12/31/2018,365,295,57,3,10,0,0,185,56,36,0,22,138,0,205,0
CA,Santa Barbara,12/31/2018,365,244,119,2,0,0,0,114,64,47,0,0,266,0,86,13
CA,Santa Clara,12/31/2018,365,233,115,6,11,0,0,194,71,44,0,7,166,0,192,0
CA,Santa Cruz,12/31/2018,365,331,24,5,5,0,0,170,50,36,0,0,221,0,144,0
CA,Shasta,12/31/2018,365,277,67,15,6,0,0,190,82,43,0,0,343,0,21,1
CA,Siskiyou,12/31/2018,365,269,56,16,24,0,0,196,119,41,0,0,241,0,124,0
CA,Solano,12/31/2018,365,263,87,3,11,1,0,247,64,42,0,3,184,0,178,0
CA,Sonoma,12/31/2018,365,325,27,3,8,2,0,226,52,36,0,2,280,0,82,1
CA,Stanislaus,12/31/2018,365,157,161,32,14,1,0,240,108,54,0,2,203,0,151,9
CA,Sutter,12/31/2018,365,153,177,22,7,5,1,335,100,54,0,0,166,0,198,1
CA,Tehama,12/31/2018,365,226,110,16,13,0,0,190,95,45,0,0,239,0,126,0
CA,Trinity,12/31/2018,291,173,99,12,7,0,0,191,79,44,0,0,0,0,291,0
CA,Tulare,12/31/2018,365,73,171,95,26,0,0,174,140,77,0,0,233,0,124,8
CA,Tuolumne,12/31/2018,348,254,73,20,1,0,0,154,80,43,0,0,348,0,0,0
CA,Ventura,12/31/2018,365,174,174,16,1,0,0,166,87,52,0,2,213,0,138,12
CA,Yolo,12/31/2018,365,260,91,5,7,2,0,235,67,43,0,0,249,0,114,2
CO,Adams,12/31/2018,365,199,163,3,0,0,0,130,74,49,0,59,146,0,95,65
CO,Alamosa,12/31/2018,360,351,8,0,0,1,0,235,33,19,0,0,0,0,25,335
CO,Arapahoe,12/31/2018,365,231,119,14,1,0,0,156,87,45,0,0,354,0,11,0
CO,Archuleta,12/31/2018,365,333,32,0,0,0,0,97,50,38,0,0,331,0,0,34
CO,Boulder,12/31/2018,362,219,114,28,1,0,0,159,96,46,0,0,285,0,77,0
CO,Chaffee,12/31/2018,164,67,91,5,1,0,0,161,87,58,0,0,164,0,0,0
CO,Clear Creek,12/31/2018,291,145,118,25,3,0,0,164,100,51,0,0,291,0,0,0
CO,Delta,12/31/2018,297,277,20,0,0,0,0,83,47,35,0,1,213,0,43,40
CO,Denver,12/31/2018,365,177,178,10,0,0,0,150,80,51,0,147,142,0,76,0
CO,Douglas,12/31/2018,364,215,122,24,3,0,0,156,97,46,0,0,302,0,62,0
CO,El Paso,12/31/2018,365,233,124,8,0,0,0,119,84,46,0,0,329,0,36,0
CO,Fremont,12/31/2018,20,20,0,0,0,0,0,36,20,15,0,0,0,0,0,20
CO,Garfield,12/31/2018,365,217,132,15,1,0,0,151,87,48,0,0,362,0,2,1
CO,Grand,12/31/2018,166,110,54,1,1,0,0,151,67,47,0,0,166,0,0,0
CO,Gunnison,12/31/2018,365,235,125,4,1,0,0,156,77,47,0,0,354,0,0,11
CO,Jackson,12/31/2018,116,113,3,0,0,0,0,60,20,7,0,0,0,0,116,0
CO,Jefferson,12/31/2018,365,229,99,35,2,0,0,151,101,46,0,0,365,0,0,0
CO,La Plata,12/31/2018,365,240,105,10,9,1,0,218,80,45,0,0,330,0,32,3
CO,Larimer,12/31/2018,365,195,142,25,3,0,0,169,97,50,0,0,322,0,43,0
CO,Mesa,12/31/2018,365,216,144,5,0,0,0,150,80,46,1,0,301,0,62,1
CO,Moffat,12/31/2018,331,262,68,1,0,0,0,108,61,42,0,0,331,0,0,0
CO,Montezuma,12/31/2018,359,259,96,4,0,0,0,115,71,44,0,0,356,0,3,0
CO,Montrose,12/31/2018,326,257,68,1,0,0,0,122,64,42,0,0,326,0,0,0
CO,Park,12/31/2018,324,161,145,17,1,0,0,174,90,51,0,0,323,0,1,0
CO,Pitkin,12/31/2018,123,123,0,0,0,0,0,43,27,14,0,0,0,0,31,92
CO,Prowers,12/31/2018,359,353,5,1,0,0,0,103,31,16,0,0,0,0,0,359
CO,Pueblo,12/31/2018,123,117,5,1,0,0,0,101,39,23,0,0,0,0,84,39
CO,Rio Blanco,12/31/2018,365,242,121,2,0,0,0,108,71,45,0,0,329,0,36,0
CO,Routt,12/31/2018,355,354,1,0,0,0,0,51,30,15,0,0,0,0,0,355
CO,San Juan,12/31/2018,118,113,5,0,0,0,0,100,25,8,0,0,0,0,118,0
CO,San Miguel,12/31/2018,238,160,76,2,0,0,0,101,71,46,0,0,181,0,0,57
CO,Teller,12/31/2018,160,63,85,12,0,0,0,133,97,58,0,0,160,0,0,0
CO,Weld,12/31/2018,365,187,168,10,0,0,0,133,87,50,0,0,264,0,100,1
CT,Fairfield,12/31/2018,365,258,86,14,7,0,0,185,80,41,0,21,196,0,148,0
CT,Hartford,12/31/2018,365,293,70,2,0,0,0,143,61,37,0,24,193,0,145,3
CT,Litchfield,12/31/2018,363,319,40,4,0,0,0,133,53,36,2,0,327,0,34,0
CT,Middlesex,12/31/2018,208,168,32,8,0,0,0,126,67,40,0,0,208,0,0,0
CT,New Haven,12/31/2018,365,276,75,12,2,0,0,156,68,40,0,29,205,0,131,0
CT,New London,12/31/2018,315,284,25,6,0,0,0,140,50,35,0,0,189,0,126,0
CT,Tolland,12/31/2018,213,189,20,4,0,0,0,140,54,38,0,0,213,0,0,0
CT,Windham,12/31/2018,358,332,20,6,0,0,0,129,47,34,0,0,358,0,0,0
DE,Kent,12/31/2018,365,310,53,2,0,0,0,133,55,38,0,0,277,0,88,0
DE,New Castle,12/31/2018,365,260,99,6,0,0,0,150,67,42,0,4,230,1,130,0
DE,Sussex,12/31/2018,365,295,66,4,0,0,0,140,58,40,0,0,295,0,70,0
DC,District of Columbia,12/31/2018,365,235,124,5,1,0,0,164,71,44,0,16,184,0,165,0
FL,Alachua,12/31/2018,364,335,29,0,0,0,0,90,48,33,0,0,293,0,71,0
FL,Baker,12/31/2018,360,341,19,0,0,0,0,87,46,31,0,0,360,0,0,0
FL,Bay,12/31/2018,323,272,50,1,0,0,0,126,54,37,0,0,189,0,134,0
FL,Brevard,12/31/2018,365,330,34,1,0,0,0,129,50,37,0,0,284,0,81,0
FL,Broward,12/31/2018,365,291,74,0,0,0,0,100,57,40,0,10,162,0,193,0
FL,Citrus,12/31/2018,359,321,38,0,0,0,0,71,51,32,0,0,0,20,339,0
FL,Collier,12/31/2018,365,320,45,0,0,0,0,80,54,36,0,0,246,0,119,0
FL,Columbia,12/31/2018,359,315,43,1,0,0,0,111,53,34,0,0,218,0,141,0
FL,Duval,12/31/2018,365,274,86,4,1,0,0,155,63,41,0,1,149,0,200,15
FL,Escambia,12/31/2018,365,318,47,0,0,0,0,93,54,37,0,0,342,0,23,0
FL,Flagler,12/31/2018,345,330,15,0,0,0,0,77,47,32,0,0,345,0,0,0
FL,Hamilton,12/31/2018,359,330,29,0,0,0,0,65,48,31,0,0,0,52,307,0
FL,Highlands,12/31/2018,351,337,13,1,0,0,0,108,47,31,0,0,351,0,0,0
FL,Hillsborough,12/31/2018,365,254,107,4,0,0,0,122,61,42,0,0,166,14,183,2
FL,Holmes,12/31/2018,346,299,47,0,0,0,0,79,52,35,0,0,196,0,150,0
FL,Indian River,12/31/2018,356,325,30,1,0,0,0,101,49,36,0,0,356,0,0,0
FL,Lake,12/31/2018,363,331,31,1,0,0,0,101,49,33,0,0,363,0,0,0
FL,Lee,12/31/2018,365,316,48,1,0,0,0,106,53,35,0,0,294,0,71,0
FL,Leon,12/31/2018,355,286,69,0,0,0,0,97,56,36,0,0,149,0,206,0
FL,Liberty,12/31/2018,284,273,11,0,0,0,0,71,47,31,0,0,284,0,0,0
FL,Manatee,12/31/2018,365,330,33,2,0,0,0,119,50,34,0,0,365,0,0,0
FL,Marion,12/31/2018,365,325,40,0,0,0,0,90,51,35,0,0,229,0,136,0
FL,Martin,12/31/2018,365,329,35,1,0,0,0,112,50,37,0,0,232,0,133,0
FL,Miami-Dade,12/31/2018,365,294,67,4,0,0,0,126,58,41,0,17,139,0,208,1
FL,Nassau,12/31/2018,354,325,27,2,0,0,0,106,48,30,0,0,0,95,259,0
FL,Okaloosa,12/31/2018,353,325,28,0,0,0,0,80,49,33,0,0,345,0,0,8
FL,Orange,12/31/2018,365,321,42,1,1,0,0,151,52,36,0,0,285,0,80,0
FL,Osceola,12/31/2018,365,330,33,2,0,0,0,126,50,33,0,0,365,0,0,0
FL,Palm Beach,12/31/2018,365,314,51,0,0,0,0,91,52,38,0,0,219,0,132,14
FL,Pasco,12/31/2018,365,324,39,2,0,0,0,129,54,35,0,0,365,0,0,0
FL,Pinellas,12/31/2018,365,311,54,0,0,0,0,100,54,38,0,0,220,0,142,3
FL,Polk,12/31/2018,365,324,39,2,0,0,0,112,52,35,0,0,275,1,89,0
FL,Putnam,12/31/2018,345,344,1,0,0,0,0,51,23,14,0,0,0,49,0,296
FL,Santa Rosa,12/31/2018,363,308,55,0,0,0,0,90,54,38,0,0,221,0,142,0
FL,Sarasota,12/31/2018,365,306,59,0,0,0,0,97,55,37,0,0,231,0,134,0
