us_state,county,year_end,days_with_aqi,good_days,moderate_days,unhealthy_sensitive_days,unhealthy_days,very_unhealthy_days,hazardous_days,poverty_estimate,poverty_percentage
CO,Rio Blanco,12/31/2019,365,311,54,0,0,0,0,624,10.3
CO,Routt,12/31/2019,356,353,2,1,0,0,0,"1,820",7.2
CO,San Juan,12/31/2019,116,116,0,0,0,0,0,99,13.7
CO,San Miguel,12/31/2019,113,112,1,0,0,0,0,804,9.9
CO,Weld,12/31/2019,365,252,110,3,0,0,0,"26,547",8.4
CT,Fairfield,12/31/2019,365,262,82,18,3,0,0,"83,047",9.0
CT,Hartford,12/31/2019,365,301,59,5,0,0,0,"93,694",10.8
CT,Litchfield,12/31/2019,365,342,23,0,0,0,0,"12,741",7.1
CT,Middlesex,12/31/2019,205,175,23,6,1,0,0,"11,024",7.0
CT,New Haven,12/31/2019,365,280,71,12,2,0,0,"99,423",12.0
CT,New London,12/31/2019,364,323,34,7,0,0,0,"19,739",7.8
CT,Tolland,12/31/2019,212,187,20,5,0,0,0,"10,559",7.8
CT,Windham,12/31/2019,360,344,15,1,0,0,0,"12,874",11.5
DE,Kent,12/31/2019,365,293,72,0,0,0,0,"22,195",12.7
DE,New Castle,12/31/2019,365,259,103,3,0,0,0,"56,289",10.4
DE,Sussex,12/31/2019,365,299,66,0,0,0,0,"27,742",12.1
DC,District of Columbia,12/31/2019,365,242,118,4,1,0,0,"94,985",14.1
DC,District of Columbia,12/31/2019,365,242,118,4,1,0,0,"94,985",14.1
FL,Alachua,12/31/2019,364,329,35,0,0,0,0,"46,916",18.4
FL,Baker,12/31/2019,361,341,20,0,0,0,0,"3,914",14.9
FL,Bay,12/31/2019,357,308,49,0,0,0,0,"20,643",12.1
FL,Brevard,12/31/2019,351,336,15,0,0,0,0,"55,578",9.4
FL,Broward,12/31/2019,363,303,60,0,0,0,0,"237,486",12.3
FL,Citrus,12/31/2019,365,337,28,0,0,0,0,"22,291",15.2
FL,Collier,12/31/2019,362,331,31,0,0,0,0,"35,928",9.4
FL,Columbia,12/31/2019,363,294,69,0,0,0,0,"10,338",15.6
FL,Duval,12/31/2019,361,248,112,1,0,0,0,"126,963",13.5
FL,Escambia,12/31/2019,365,290,74,1,0,0,0,"46,519",15.5
FL,Flagler,12/31/2019,270,265,5,0,0,0,0,"11,049",9.7
FL,Hamilton,12/31/2019,349,313,36,0,0,0,0,"3,794",32.5
FL,Highlands,12/31/2019,233,224,9,0,0,0,0,"16,519",15.8
FL,Hillsborough,12/31/2019,365,281,78,6,0,0,0,"195,684",13.5
FL,Holmes,12/31/2019,362,289,73,0,0,0,0,"3,587",20.1
FL,Indian River,12/31/2019,335,324,11,0,0,0,0,"18,179",11.5
FL,Lake,12/31/2019,330,301,28,1,0,0,0,"39,419",10.9
FL,Lee,12/31/2019,365,328,36,1,0,0,0,"85,295",11.2
FL,Leon,12/31/2019,360,275,84,1,0,0,0,"58,203",20.8
FL,Liberty,12/31/2019,351,339,12,0,0,0,0,"1,453",23.0
FL,Manatee,12/31/2019,365,333,30,2,0,0,0,"44,991",11.3
FL,Marion,12/31/2019,365,311,54,0,0,0,0,"52,950",14.9
FL,Martin,12/31/2019,352,323,29,0,0,0,0,"14,000",8.9
FL,Miami-Dade,12/31/2019,363,317,44,2,0,0,0,"419,056",15.7
FL,Nassau,12/31/2019,351,326,25,0,0,0,0,"7,951",9.0
FL,Okaloosa,12/31/2019,363,335,28,0,0,0,0,"21,866",10.6
FL,Orange,12/31/2019,360,321,39,0,0,0,0,"171,599",12.6
FL,Osceola,12/31/2019,364,338,22,4,0,0,0,"49,803",13.4
FL,Palm Beach,12/31/2019,357,321,36,0,0,0,0,"168,026",11.4
FL,Pasco,12/31/2019,365,336,29,0,0,0,0,"61,716",11.3
FL,Pinellas,12/31/2019,365,296,69,0,0,0,0,"108,948",11.4
