data_state,county,poverty_estimate,poverty_percentage
FL,Columbia,"11,340",17.3
FL,DeSoto,"9,013",26.1
FL,Dixie,"3,679",24.7
FL,Duval,"134,476",14.5
FL,Escambia,"43,832",14.7
FL,Flagler,"11,450",10.3
FL,Franklin,"2,343",22.8
FL,Gadsden,"10,259",23.6
FL,Gilchrist,"2,856",16.8
FL,Glades,"2,457",20.1
FL,Gulf,"2,667",20.3
FL,Hamilton,"3,209",27.6
FL,Hardee,"6,956",27.0
FL,Hendry,"9,850",24.0
FL,Hernando,"26,646",14.1
FL,Highlands,"21,577",20.8
FL,Hillsborough,"207,358",14.7
FL,Holmes,"4,232",23.9
FL,Indian River,"16,775",10.7
FL,Jackson,"9,492",23.5
FL,Jefferson,"2,317",17.9
FL,Lafayette,"1,521",21.0
FL,Lake,"40,582",11.5
FL,Lee,"90,400",12.1
FL,Leon,"57,656",20.7
FL,Levy,"6,521",16.1
FL,Liberty,"1,523",23.8
FL,Madison,"3,752",22.8
FL,Manatee,"40,662",10.4
FL,Marion,"52,818",15.1
FL,Martin,"16,824",10.7
FL,Miami-Dade,"436,103",16.0
FL,Monroe,"8,859",12.0
FL,Nassau,"8,882",10.4
FL,Okaloosa,"25,612",12.7
FL,Okeechobee,"8,283",21.5
FL,Orange,"211,307",15.6
FL,Osceola,"48,711",13.4
FL,Palm Beach,"179,359",12.2
FL,Pasco,"67,164",12.6
FL,Pinellas,"112,593",11.7
FL,Polk,"109,018",15.7
FL,Putnam,"13,697",18.8
FL,St. Johns,"16,642",6.6
FL,St. Lucie,"38,398",12.1
FL,Santa Rosa,"16,404",9.5
FL,Sarasota,"43,389",10.3
FL,Seminole,"46,050",9.9
FL,Sumter,"11,183",9.3
FL,Suwannee,"7,999",19.3
FL,Taylor,"4,130",21.6
FL,Union,"2,118",20.6
FL,Volusia,"70,499",13.2
FL,Wakulla,"3,543",11.9
FL,Walton,"7,868",11.4
FL,Washington,"5,104",22.8
GA,Appling,"3,954",21.9
GA,Atkinson,"2,156",26.1
GA,Bacon,"2,473",22.8
GA,Baker,704,22.9
GA,Baldwin,"9,313",23.8
GA,Banks,"2,469",13.0
GA,Barrow,"7,651",9.5
GA,Bartow,"12,768",12.2
GA,Ben Hill,"4,305",26.2
GA,Berrien,"4,144",21.8
GA,Bibb,"36,326",24.7
GA,Bleckley,"2,156",18.7
GA,Brantley,"3,419",18.3
GA,Brooks,"3,768",24.5
